,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
370,Mahajanga,20,MG,1575590725,78,-15.72,46.32,28.0,1.5
371,Oxapampa,100,PE,1575590725,99,-10.58,-75.4,12.65,0.24
372,Port Pirie,90,AU,1575590658,67,-33.18,138.01,17.0,6.7
373,Ngunguru,0,NZ,1575590726,76,-35.62,174.5,25.0,0.89
374,Zabid,17,YE,1575590726,46,14.2,44.5,12.41,1.99
375,East Millcreek,90,US,1575590726,100,40.7,-111.81,3.89,1.32
376,Baturaja,93,ID,1575590726,90,-4.12,104.17,23.92,1.59
377,Half Moon Bay,90,US,1575590726,93,37.46,-122.43,15.0,4.6
378,Warwick,75,US,1575590483,47,41.7,-71.42,4.0,6.2
379,Baltiysk,40,RU,1575590727,86,54.66,19.91,1.0,6.0
380,Itoman,90,JP,1575590727,88,26.12,127.67,17.0,7.7
381,West Bay,75,CA,1575590728,75,49.34,-123.21,7.78,1.5
382,Yining,62,CN,1575590728,71,29.04,114.56,4.5,1.11
383,Killybegs,100,IE,1575590728,95,54.63,-8.45,11.11,3.58
384,Dingle,95,PH,1575590728,86,11.0,122.67,26.0,2.84
385,Tahe,100,CN,1575590728,94,52.34,124.71,-19.57,3.46
386,Teya,75,MX,1575590729,61,21.05,-89.07,26.0,3.6
387,Gualaquiza,100,EC,1575590729,96,-3.4,-78.58,18.45,0.61
388,Polunochnoye,76,RU,1575590729,92,60.87,60.43,-13.77,3.65
389,Trincomalee,100,LK,1575590727,96,8.58,81.23,23.46,1.46
390,Liverpool,90,GB,1575590456,82,53.41,-2.98,13.0,8.2
391,Presidente Olegario,100,BR,1575590730,100,-18.42,-46.42,20.56,1.29
392,Armacao de Pera,24,PT,1575590730,62,37.1,-8.36,14.0,3.1
393,Hirara,75,JP,1575590730,88,24.8,125.28,19.0,8.2
394,Adwa,0,ET,1575590731,75,14.16,38.9,16.62,2.22
395,Namatanai,85,PG,1575590731,72,-3.66,152.44,28.78,1.34
396,Moree,0,AU,1575590732,10,-29.46,149.84,33.0,4.6
397,Olinda,75,AU,1575590732,51,-37.84,145.39,16.67,7.7
398,Zaysan,100,KZ,1575590732,85,47.47,84.87,-6.25,1.05
399,Ifo,20,NG,1575590732,94,6.81,3.2,26.0,1.0
400,The Valley,20,AI,1575590706,78,18.22,-63.06,28.0,3.6
401,Axim,33,GH,1575590732,92,4.87,-2.24,24.37,1.42
402,Price,90,US,1575590732,86,39.6,-110.81,3.0,1.64
403,Padang,45,ID,1575590732,88,-0.92,100.36,20.89,2.24
404,Mayo,75,CA,1575590732,73,63.59,-135.9,-35.0,1.0
405,San Pedro,0,AR,1575590732,31,-33.68,-59.66,19.44,0.89
406,Kindu,100,CD,1575590732,99,-2.95,25.92,20.5,0.64
407,Kadoma,75,JP,1575590733,61,34.73,135.6,8.89,5.7
408,Verkhoyansk,100,RU,1575590733,95,67.55,133.39,-38.39,1.09
409,Malm,75,NO,1575590733,88,64.07,11.22,5.0,9.3
410,San Juan,0,AR,1575590733,15,-31.54,-68.53,26.58,0.65
411,Phangnga,20,TH,1575590733,73,8.45,98.53,25.0,4.6
412,Komsomolskiy,89,RU,1575590733,100,67.55,63.78,-19.53,1.54
413,Ratnagiri,1,IN,1575590733,74,16.98,73.3,22.12,1.68
414,Nova Friburgo,100,BR,1575590461,84,-22.28,-42.53,22.87,2.33
415,Cockburn Town,2,TC,1575590467,81,21.46,-71.14,26.56,7.76
416,Tuatapere,50,NZ,1575590734,56,-46.13,167.69,16.23,3.51
417,San Vicente,75,EC,1575590612,78,-0.59,-80.41,26.0,6.2
418,Myrtle Beach,1,US,1575590734,86,33.7,-78.89,9.0,0.86
419,Omboue,100,GA,1575590734,96,-1.57,9.26,23.5,1.22
420,Morayfield,0,AU,1575590734,19,-27.11,152.95,37.22,2.1
421,Tashtagol,87,RU,1575590734,78,52.76,87.85,-5.57,1.51
422,Cap-Haitien,0,HT,1575590734,76,19.76,-72.2,27.59,5.69
423,Kurkino,100,RU,1575590734,87,53.42,38.66,1.04,8.68
424,Kanalia,85,GR,1575590734,86,39.4,21.8,4.44,0.6
425,Kota Belud,90,MY,1575590734,94,6.35,116.43,25.0,1.5
426,Arlit,30,NE,1575590734,15,18.74,7.39,21.87,4.09
427,Wenling,100,CN,1575590734,88,28.38,121.38,11.67,8.4
428,Chapais,90,CA,1575590734,92,49.78,-74.86,-6.0,4.6
429,Sungairaya,75,ID,1575590735,92,0.7,108.9,24.53,1.7
430,Khipro,1,PK,1575590735,30,25.83,69.38,18.49,4.5
431,Nishihara,75,JP,1575590735,60,35.74,139.53,9.44,3.6
432,San Salvo,9,IT,1575590735,75,42.04,14.73,9.44,1.5
433,Weiser,90,US,1575590735,80,44.25,-116.97,4.0,1.5
434,Imeni Poliny Osipenko,47,RU,1575590735,89,52.42,136.49,-20.18,5.67
435,Manuk Mangkaw,97,PH,1575590735,78,4.8,119.85,27.59,1.96
436,Baijiantan,58,CN,1575590735,73,45.63,85.18,-6.71,0.78
437,Goderich,96,CA,1575590735,79,43.74,-81.71,1.67,0.89
438,Jumla,48,NP,1575590735,23,29.28,82.18,-1.15,2.01
439,Kontagora,2,NG,1575590735,30,10.4,5.47,23.34,2.05
440,Mokrousovo,61,RU,1575590736,95,55.81,66.77,-14.77,3.7
441,Tshikapa,100,CD,1575590736,98,-6.42,20.79,19.92,1.76
442,Bejar,86,AL,1575590736,72,40.49,19.83,8.55,1.96
443,Roebourne,13,AU,1575590736,23,-20.77,117.15,33.79,1.46
444,Ahipara,0,NZ,1575590736,89,-35.17,173.16,27.78,2.01
445,Marsa Matruh,82,EG,1575590736,72,31.35,27.25,17.0,3.1
446,Magadan,99,RU,1575590736,87,59.56,150.8,-17.62,9.56
447,Wodonga,99,AU,1575590737,45,-36.12,146.89,21.67,5.1
448,Balikpapan,100,ID,1575590737,86,-1.24,116.86,26.62,0.78
449,Sisophon,52,KH,1575590737,68,13.59,102.97,16.31,2.6
450,Kenai,90,US,1575590737,78,60.55,-151.26,-9.0,5.1
451,Praxedis Guerrero,20,MX,1575590737,37,31.37,-106.02,19.0,5.7
452,Channel-Port aux Basques,100,CA,1575590737,89,47.57,-59.14,1.41,5.33
453,Derzhavinsk,97,KZ,1575590728,92,51.1,66.31,-8.91,7.15
454,Tautira,90,PF,1575590737,83,-17.73,-149.15,27.0,6.2
455,Kysyl-Syr,81,RU,1575590737,93,63.9,122.77,-39.07,3.47
456,Plouzane,75,FR,1575590441,87,48.38,-4.62,11.0,7.2
457,Magistralnyy,1,RU,1575590738,95,56.17,107.45,-20.49,1.93
458,Puerto Baquerizo Moreno,75,EC,1575590738,83,-0.9,-89.6,24.0,6.7
459,Sheboygan,40,US,1575590738,80,43.75,-87.71,2.0,6.01
460,Mwinilunga,100,ZM,1575590738,98,-11.73,24.43,17.02,0.83
461,Mbuji-Mayi,100,CD,1575590738,93,-6.13,23.6,19.84,1.82
462,Gamba,78,CN,1575590738,35,28.28,88.52,-9.15,0.11
463,Karonga,96,MW,1575590738,78,-9.94,33.93,24.0,1.81
464,Guarapari,40,BR,1575590738,88,-20.67,-40.5,26.0,6.7
465,Gari,28,RU,1575590738,91,59.43,62.35,-12.52,5.57
466,Tocopilla,44,CL,1575590738,35,-22.09,-70.2,13.0,0.45
467,Zhigansk,85,RU,1575590676,91,66.77,123.37,-38.02,4.81
468,Mana,1,NG,1575590738,15,13.03,5.27,21.8,3.89
469,Tiznit,26,MA,1575590738,67,29.7,-9.73,11.0,3.82
470,Khasan,0,RU,1575590739,41,42.43,130.64,-13.52,4.92
471,Ixtapa,5,MX,1575590739,69,20.71,-105.21,28.0,3.1
472,Acapulco,5,MX,1575590739,74,16.86,-99.88,30.0,2.1
473,Plaster Rock,20,CA,1575590739,78,46.91,-67.4,-4.44,1.5
474,Alice Springs,0,AU,1575590739,8,-23.7,133.88,32.0,3.1
475,Praia,40,BR,1575590739,78,-20.25,-43.81,24.0,1.5
476,College,1,US,1575590476,82,64.86,-147.8,-27.0,1.64
477,Marsh Harbour,100,BS,1575590716,51,26.54,-77.06,21.99,2.93
478,Mumbwa,92,ZM,1575590739,86,-14.99,27.06,18.92,3.26
479,Deloraine,40,AU,1575590739,38,-41.53,146.66,16.11,9.8
480,Tolaga Bay,0,NZ,1575590740,65,-38.37,178.3,20.45,5.74
481,Erzin,75,TR,1575590740,49,36.95,36.2,10.0,2.6
482,Mehran,0,IR,1575590740,86,33.12,46.17,3.0,2.1
483,Cabedelo,30,BR,1575590740,78,-6.97,-34.84,25.0,3.1
484,Dartford,90,GB,1575590498,81,51.45,0.21,11.0,7.2
485,Phalaborwa,11,ZA,1575590740,85,-23.95,31.14,15.11,1.12
486,Ketchikan,40,US,1575590484,100,55.34,-131.65,4.0,1.5
487,Humaita,100,AR,1575590741,60,-24.93,-65.37,22.0,2.6
488,Ajdovscina,64,SI,1575590741,93,45.89,13.91,7.22,1.5
489,Santa Cruz Cabralia,20,BR,1575590741,78,-16.28,-39.02,26.0,3.6
490,Garissa,100,KE,1575590741,76,-0.46,39.64,26.14,2.56
491,Port Shepstone,92,ZA,1575590741,89,-30.74,30.45,14.41,3.16
492,Nuuk,20,GL,1575590547,78,64.17,-51.74,-10.0,6.7
493,Mount Pleasant,1,US,1575590526,48,33.16,-94.97,20.0,3.1
494,Kodinsk,88,RU,1575590741,95,58.6,99.18,-15.44,2.12
495,Hernani,20,ES,1575590741,100,43.27,-1.98,7.0,2.1
496,Gariaband,3,IN,1575590742,67,20.63,82.06,11.75,0.45
497,Aykhal,0,RU,1575590742,65,65.95,111.51,-39.0,1.0
498,Fairbanks,1,US,1575590721,82,64.84,-147.72,-27.0,1.7
499,Panama City,1,US,1575590742,58,30.16,-85.65,15.0,1.5
500,Atar,6,MR,1575590742,48,20.52,-13.05,14.81,1.11
501,Katsuura,75,JP,1575590709,52,33.93,134.5,8.33,5.1
502,Fort-Shevchenko,6,KZ,1575590742,80,44.51,50.26,1.95,4.21
503,Ahuimanu,75,US,1575590742,69,21.44,-157.84,28.0,4.1
504,Tual,98,ID,1575590742,68,-5.67,132.75,28.91,0.72
505,Ilulissat,20,GL,1575590696,42,69.22,-51.1,-14.0,4.1
506,Viedma,0,AR,1575590586,57,-40.81,-62.99,15.06,2.86
507,Nioaque,83,BR,1575590742,80,-21.16,-55.83,22.68,1.76
508,Ternate,40,PH,1575590742,88,14.29,120.72,27.22,0.5
509,Vestmanna,100,FO,1575590743,64,62.16,-7.17,4.0,5.1
510,Byron Bay,0,AU,1575590714,39,-28.65,153.62,37.22,3.1
511,Trairi,90,BR,1575590743,82,-3.28,-39.27,23.9,1.11
512,Emerald,0,AU,1575590454,45,-23.53,148.16,33.33,4.6
513,Jega,0,NG,1575590743,18,12.22,4.38,22.81,3.94
514,Boo,1,NG,1575590743,29,7.44,8.9,25.73,0.85
515,Ormara,0,PK,1575590743,53,25.21,64.64,25.42,4.95
516,Batticaloa,100,LK,1575590743,92,7.71,81.69,23.62,1.04
517,Gorele,75,TR,1575590744,75,41.03,39.0,7.0,2.6
518,Belyy Yar,90,RU,1575590744,92,53.6,91.39,-14.0,0.77
519,Berlevag,90,NO,1575590744,86,70.86,29.09,1.0,5.1
520,Luderitz,74,NA,1575590744,77,-26.65,15.16,18.0,2.1
521,Urengoy,100,RU,1575590744,95,65.96,78.37,-9.1,4.58
522,Vardo,1,US,1575590744,60,39.62,-77.74,4.0,4.85
523,Shetpe,0,KZ,1575590744,82,44.14,52.16,-1.08,2.14
524,Bria,0,CF,1575590744,38,6.54,21.99,19.91,1.25
525,Lerwick,75,GB,1575590694,87,60.15,-1.15,6.0,5.7
526,Kununurra,42,AU,1575590745,55,-15.77,128.74,33.0,1.5
